,the,of,in,to,and,said,a,pct,oil,mln,is,by,will,year,s,for,on,from,its,an,u,that,at,it,tonnes,1,be,dlrs,000,was,wheat,he,with,as,would,prices,2,has,not,last,this,were,but,crude,1986,are,grain,production,have,corn
article000.txt,13,8,6,5,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article001.txt,43,22,13,16,19,10,15,7,7,3,4,9,3,8,16,10,3,3,3,4,9,8,5,4,0,2,3,7,0,1,0,1,3,8,3,4,0,5,1,4,6,2,2,0,0,5,0,0,3,0
article002.txt,19,3,3,5,4,6,4,0,2,0,1,2,0,0,1,3,2,1,2,2,0,0,1,2,0,0,3,0,0,3,0,0,1,1,2,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0
article003.txt,10,5,0,2,4,8,6,0,1,0,0,2,0,0,1,0,0,2,2,4,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0
article004.txt,13,14,12,4,7,9,1,1,8,9,2,1,1,3,4,3,4,2,7,1,1,0,1,7,0,1,1,9,0,0,0,0,0,2,1,1,2,0,1,3,1,1,0,0,2,0,0,3,0,0
article005.txt,4,1,3,1,4,2,1,0,4,0,0,1,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
article006.txt,5,4,3,6,3,2,3,0,1,0,0,2,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0
article007.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article008.txt,7,2,6,5,3,4,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
article009.txt,7,0,5,5,1,5,3,10,2,18,0,1,0,7,2,0,0,10,1,0,2,0,1,1,0,6,0,0,0,4,0,0,0,1,0,0,4,0,0,1,1,0,0,2,1,0,0,0,0,0
article010.txt,1,0,4,6,1,3,2,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,1,0,0,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,2,0,3,0,0,1,0
article011.txt,15,11,5,9,4,9,4,5,12,0,2,4,0,0,7,10,5,1,2,3,6,2,2,1,0,0,3,0,0,0,0,3,0,8,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0
article012.txt,10,3,2,4,4,4,3,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,0
article013.txt,11,4,14,8,3,0,7,5,5,0,2,2,0,0,6,7,3,4,0,1,6,0,2,0,0,1,0,6,0,0,0,0,1,3,0,5,2,0,0,1,0,1,2,6,0,0,0,0,0,0
article014.txt,5,2,3,0,3,2,1,1,4,1,1,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article015.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article016.txt,11,6,1,10,1,3,1,0,3,0,1,1,2,0,1,0,3,0,0,2,0,0,1,1,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
article017.txt,14,6,3,12,3,7,3,0,3,0,1,1,0,0,4,6,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0
article018.txt,4,3,2,0,0,2,3,5,2,2,2,1,0,0,3,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
article019.txt,4,5,3,4,4,2,3,3,3,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
article020.txt,3,2,1,3,5,1,1,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article021.txt,16,10,7,8,3,7,4,0,8,1,1,2,1,0,2,1,1,3,2,1,0,2,1,9,0,1,0,2,0,1,0,0,2,1,2,2,0,2,1,2,1,4,0,0,0,0,0,2,0,0
article022.txt,25,9,9,13,11,17,7,0,12,0,0,2,3,0,14,7,1,1,3,5,3,7,3,8,0,0,1,0,0,1,0,6,6,3,4,0,0,2,2,5,0,5,6,2,0,3,0,0,1,0
article023.txt,15,11,7,9,4,5,4,0,8,1,1,2,1,0,2,1,1,3,2,1,0,2,1,9,0,1,0,2,0,1,0,0,2,1,2,2,0,2,1,2,1,4,0,0,0,0,0,2,0,0
article024.txt,6,0,3,4,2,3,1,0,3,2,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
article025.txt,10,8,7,11,6,6,5,2,8,3,1,0,1,2,2,1,2,0,4,2,0,0,1,0,2,0,0,1,2,6,0,3,2,0,0,2,1,0,1,3,0,0,1,3,1,0,0,3,0,0
article026.txt,6,1,2,1,2,3,2,3,2,1,1,0,1,0,1,2,0,0,1,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article027.txt,17,7,7,10,3,9,3,0,5,0,8,0,3,0,12,7,7,0,4,4,3,6,0,5,0,0,5,2,0,1,0,4,10,4,2,0,0,0,2,0,0,2,2,3,0,5,0,0,0,0
article028.txt,18,9,4,13,2,2,4,0,4,0,1,0,3,0,2,1,2,2,0,3,0,1,3,1,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
article029.txt,1,3,0,10,1,2,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
article030.txt,18,10,3,12,6,7,4,0,5,3,2,1,6,1,2,6,3,1,2,3,0,2,2,4,0,0,2,2,5,3,0,0,5,0,0,0,0,0,1,0,1,1,2,3,0,2,0,0,0,0
article031.txt,10,9,4,9,6,8,8,0,5,1,4,1,3,2,3,1,3,1,2,2,0,2,2,1,0,0,5,4,0,3,0,5,0,5,3,4,0,0,2,2,1,1,2,1,1,0,0,3,1,0
article032.txt,11,9,5,2,4,2,4,0,7,3,1,0,0,3,2,3,1,3,0,1,0,0,3,0,3,0,0,0,3,0,0,1,0,1,0,0,2,3,0,1,1,0,0,1,1,0,0,3,0,0
article033.txt,19,6,5,8,7,7,5,0,2,2,4,4,1,0,3,6,3,1,3,1,0,6,1,0,0,2,1,0,3,3,0,1,5,3,2,1,0,1,1,0,1,1,2,0,0,1,0,0,2,0
article034.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article035.txt,16,0,2,5,4,2,6,0,3,0,2,3,2,0,5,1,2,0,1,1,0,3,0,2,0,0,2,0,0,1,0,0,2,3,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
article036.txt,4,9,3,5,1,3,5,9,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,3,0,2,3,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
article037.txt,5,2,4,4,4,2,1,0,0,0,0,4,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0
